,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
3527,17154628,6067974,WAN CHAI,22.28257,114.19148999999999,Entire home/apt,1197,30,2,23,301
3528,17160227,80100729,WAN CHAI,22.2828,114.1916,Entire home/apt,681,5,25,2,193
3529,17160452,34789479,WAN CHAI,22.28013,114.18279,Private room,454,1,85,18,88
3530,17161494,115437533,CENTRAL & WESTERN,22.28531,114.14153999999999,Entire home/apt,649,3,27,2,2
3531,17182891,12406311,CENTRAL & WESTERN,22.28118,114.15494,Entire home/apt,696,1,148,3,79
3532,17182902,13967962,WAN CHAI,22.2802,114.1834,Private room,548,2,56,3,0
3535,17184611,57213517,YAU TSIM MONG,22.31906,114.17102,Entire home/apt,720,1,4,7,365
3536,17184752,57213517,YAU TSIM MONG,22.319770000000002,114.17091,Entire home/apt,884,1,23,7,365
3539,17195997,23438315,YAU TSIM MONG,22.298779999999997,114.17192,Private room,610,28,0,8,360
3542,17216784,111721793,YAU TSIM MONG,22.29746,114.17661000000001,Entire home/apt,1174,2,6,2,272
3543,17224115,54217913,WAN CHAI,22.27082,114.18598999999999,Entire home/apt,1690,28,13,1,272
3545,17234320,116081375,CENTRAL & WESTERN,22.280170000000002,114.15305,Entire home/apt,1283,2,0,1,0
3547,17241694,115300128,YAU TSIM MONG,22.30206,114.17623,Entire home/apt,1486,2,2,1,336
3548,17245791,6110860,YAU TSIM MONG,22.309160000000002,114.16986000000001,Private room,352,1,37,32,343
3549,17262709,19569224,YAU TSIM MONG,22.2993,114.17455,Entire home/apt,978,1,107,18,72
3550,17271042,113797018,YAU TSIM MONG,22.296960000000002,114.17351000000001,Private room,297,1,4,2,0
3551,17272989,6353171,CENTRAL & WESTERN,22.288079999999997,114.14168000000001,Entire home/apt,462,5,9,1,0
3555,17288490,28665798,WAN CHAI,22.27727,114.17343000000001,Entire home/apt,618,1,167,5,62
3556,17291263,116640471,YAU TSIM MONG,22.2972,114.17138999999999,Private room,297,3,10,6,14
3558,17307742,116640471,YAU TSIM MONG,22.29796,114.17058,Private room,289,5,2,6,21
3559,17319918,93130377,YAU TSIM MONG,22.31631,114.16996999999999,Private room,399,1,12,17,359
3560,17320477,6647588,CENTRAL & WESTERN,22.28829,114.14563999999999,Entire home/apt,900,3,6,1,0
3561,17320641,93130377,YAU TSIM MONG,22.31769,114.16881000000001,Private room,501,1,6,17,364
3563,17321371,2767559,YAU TSIM MONG,22.319329999999997,114.16991000000002,Private room,2097,2,0,16,309
3565,17321606,116183774,YAU TSIM MONG,22.31026,114.17087,Entire home/apt,2253,2,32,1,0
3567,17323186,1437136,YAU TSIM MONG,22.29622,114.17363,Entire home/apt,1275,3,38,1,32
3568,17328992,116825097,YAU TSIM MONG,22.29964,114.17631000000002,Entire home/apt,1189,1,119,2,136
3569,17335287,117063799,CENTRAL & WESTERN,22.28201,114.13211000000001,Entire home/apt,704,5,62,1,7
3570,17337969,18615414,CENTRAL & WESTERN,22.28739,114.1419,Entire home/apt,853,3,4,1,0
3571,17338413,16654566,CENTRAL & WESTERN,22.28116,114.15272,Entire home/apt,696,1,30,1,0
3572,17339624,38712432,YAU TSIM MONG,22.31681,114.16163999999999,Private room,297,2,9,1,88
3573,17340203,10171189,YAU TSIM MONG,22.31727,114.16932,Entire home/apt,516,1,108,8,335
3574,17340792,57213517,YAU TSIM MONG,22.31311,114.17115,Entire home/apt,3388,1,3,7,365
3575,17340991,57213517,YAU TSIM MONG,22.31769,114.16978999999999,Entire home/apt,2934,1,13,7,365
3576,17341723,10171189,YAU TSIM MONG,22.31866,114.17078000000001,Entire home/apt,516,1,54,8,335
3577,17347279,4584648,WAN CHAI,22.27926,114.17903000000001,Private room,164,30,0,80,364
3578,17348801,111721793,YAU TSIM MONG,22.30795,114.16578,Entire home/apt,1557,2,6,2,321
3581,17385778,13465840,WAN CHAI,22.28281,114.19027,Entire home/apt,602,15,2,1,0
3585,17394187,49675453,YAU TSIM MONG,22.32285,114.16933,Entire home/apt,383,1,0,1,0
3586,17397946,113797018,YAU TSIM MONG,22.29859,114.17196000000001,Private room,798,1,0,2,90
