,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,cen_lat,cen_long,distance
4591,20684223,24358640,YAU TSIM MONG,22.317320000000002,114.16901000000001,Private room,321,1,87,39,357,22.3080085266259,114.17104818774976,1.0557409153209307
4592,20684306,16841584,YAU TSIM MONG,22.32041,114.15606000000001,Entire home/apt,798,28,64,1,19,22.3080085266259,114.17104818774976,2.0672172072493704
4593,20688412,38156634,WAN CHAI,22.27662,114.17257,Entire home/apt,368,2,115,5,39,22.275147891304314,114.18205756086955,0.9892425380736785
4595,20690610,9280086,YAU TSIM MONG,22.29702,114.17253000000001,Private room,383,1,225,9,285,22.3080085266259,114.17104818774976,1.2305682948270051
4597,20701892,24358640,YAU TSIM MONG,22.315929999999998,114.16903,Private room,305,2,50,39,364,22.3080085266259,114.17104818774976,0.9043956386812156
4598,20704415,6154584,CENTRAL & WESTERN,22.28228,114.15078999999999,Private room,297,1,9,1,356,22.284189950400627,114.14648174742455,0.4912209565469498
4599,20711973,148282119,CENTRAL & WESTERN,22.280520000000003,114.15191000000002,Private room,501,2,75,1,15,22.284189950400627,114.14648174742455,0.6912850458097464
4604,20717936,67157758,YAU TSIM MONG,22.30798,114.16707,Entire home/apt,462,1,119,11,323,22.3080085266259,114.17104818774976,0.40900241000534016
4605,20719035,138649185,WAN CHAI,22.277179999999998,114.17623,Private room,1048,28,0,83,365,22.275147891304314,114.18205756086955,0.6403929487566519
4606,20719961,138649185,WAN CHAI,22.27867,114.17886999999999,Private room,1103,28,0,83,364,22.275147891304314,114.18205756086955,0.510519002446398
4607,20720421,31113999,YAU TSIM MONG,22.32054,114.16713999999999,Private room,297,1,24,43,120,22.3080085266259,114.17104818774976,1.4493622019781336
4608,20720870,144984492,CENTRAL & WESTERN,22.284979999999997,114.15066999999999,Private room,399,1,123,1,0,22.284189950400627,114.14648174742455,0.43951645852114923
4609,20720982,31113999,YAU TSIM MONG,22.32099,114.16798,Private room,399,1,54,43,119,22.3080085266259,114.17104818774976,1.476648691374594
4610,20722137,31113999,YAU TSIM MONG,22.32078,114.16823000000001,Private room,399,1,57,43,110,22.3080085266259,114.17104818774976,1.4485010081108929
4611,20722280,31113999,YAU TSIM MONG,22.32106,114.16955,Private room,399,1,22,43,121,22.3080085266259,114.17104818774976,1.4585014954147022
